week_start,product_name,opening_stock,quantity_received,quantity_dispensed,closing_stock,stockout_flag
2021-05-10,AZT,1336,0,305,1031,0
2021-05-17,AZT,1031,0,304,727,0
2021-05-24,AZT,727,0,249,478,0
2021-05-31,AZT,478,0,293,185,0
2021-06-07,AZT,185,0,185,0,1
2021-06-14,AZT,0,0,0,0,1
2021-06-21,AZT,0,0,0,0,1
2021-06-28,AZT,0,0,0,0,1
2021-07-05,AZT,0,1654,193,1461,0
2021-07-12,AZT,1461,0,212,1249,0
2021-07-19,AZT,1249,0,243,1006,0
2021-07-26,AZT,1006,0,196,810,0
2021-08-02,AZT,810,0,200,610,0
2021-08-09,AZT,610,0,224,386,0
2021-08-16,AZT,386,1436,197,1625,0
2021-08-23,AZT,1625,0,201,1424,0
2021-08-30,AZT,1424,0,307,1117,0
2021-09-06,AZT,1117,0,289,828,0
2021-09-13,AZT,828,0,131,697,0
2021-09-20,AZT,697,0,210,487,0
2021-09-27,AZT,487,0,180,307,0
2021-10-04,AZT,307,0,214,93,0
2021-10-11,AZT,93,0,93,0,1
2021-10-18,AZT,0,1261,301,960,0
2021-10-25,AZT,960,0,347,613,0
2021-11-01,AZT,613,0,181,432,0
2021-11-08,AZT,432,0,229,203,0
2021-11-15,AZT,203,1725,233,1695,0
2021-11-22,AZT,1695,0,220,1475,0
2021-11-29,AZT,1475,0,211,1264,0
2021-12-06,AZT,1264,0,213,1051,0
2021-12-13,AZT,1051,0,204,847,0
2021-12-20,AZT,847,0,211,636,0
2021-12-27,AZT,636,0,185,451,0
2022-01-03,AZT,451,0,195,256,0
2022-01-10,AZT,256,0,241,15,0
2022-01-17,AZT,15,1210,172,1053,0
2022-01-24,AZT,1053,0,268,785,0
2022-01-31,AZT,785,0,202,583,0
2022-02-07,AZT,583,0,128,455,0
2022-02-14,AZT,455,0,133,322,0
2022-02-21,AZT,322,0,168,154,0
2022-02-28,AZT,154,1900,166,1888,0
2022-03-07,AZT,1888,0,191,1697,0
2022-03-14,AZT,1697,0,240,1457,0
2022-03-21,AZT,1457,0,162,1295,0
2022-03-28,AZT,1295,0,186,1109,0
2022-04-04,AZT,1109,0,181,928,0
2022-04-11,AZT,928,0,249,679,0
2022-04-18,AZT,679,0,228,451,0
2022-04-25,AZT,451,0,273,178,0
2022-05-02,AZT,178,0,178,0,1
2022-05-09,AZT,0,1390,297,1093,0
2022-05-16,AZT,1093,0,263,830,0
2022-05-23,AZT,830,0,317,513,0
2022-05-30,AZT,513,0,147,366,0
2022-06-06,AZT,366,0,234,132,0
2022-06-13,AZT,132,0,132,0,1
2022-06-20,AZT,0,0,0,0,1
2022-06-27,AZT,0,0,0,0,1
2022-07-04,AZT,0,1855,242,1613,0
2022-07-11,AZT,1613,0,254,1359,0
2022-07-18,AZT,1359,0,277,1082,0
2022-07-25,AZT,1082,0,277,805,0
2022-08-01,AZT,805,0,219,586,0
2022-08-08,AZT,586,0,279,307,0
2022-08-15,AZT,307,0,245,62,0
2022-08-22,AZT,62,0,62,0,1
2022-08-29,AZT,0,0,0,0,1
2022-09-05,AZT,0,1603,238,1365,0
2022-09-12,AZT,1365,0,207,1158,0
2022-09-19,AZT,1158,0,232,926,0
2022-09-26,AZT,926,0,260,666,0
2022-10-03,AZT,666,0,115,551,0
2022-10-10,AZT,551,0,196,355,0
2022-10-17,AZT,355,0,299,56,0
2022-10-24,AZT,56,0,56,0,1
2022-10-31,AZT,0,0,0,0,1
2022-11-07,AZT,0,0,0,0,1
2022-11-14,AZT,0,1527,216,1311,0
2022-11-21,AZT,1311,0,220,1091,0
2022-11-28,AZT,1091,0,227,864,0
2022-12-05,AZT,864,0,211,653,0
2022-12-12,AZT,653,0,246,407,0
2022-12-19,AZT,407,0,208,199,0
2022-12-26,AZT,199,0,199,0,1
2020-01-06,Amoxicillin 500mg,2483,0,189,2294,0
2020-01-13,Amoxicillin 500mg,2294,0,143,2151,0
2020-01-20,Amoxicillin 500mg,2151,0,203,1948,0
2020-01-27,Amoxicillin 500mg,1948,0,227,1721,0
2020-02-03,Amoxicillin 500mg,1721,0,216,1505,0
2020-02-10,Amoxicillin 500mg,1505,0,236,1269,0
2020-02-17,Amoxicillin 500mg,1269,0,195,1074,0
2020-02-24,Amoxicillin 500mg,1074,0,172,902,0
2020-03-02,Amoxicillin 500mg,902,0,270,632,0
2020-03-09,Amoxicillin 500mg,632,0,152,480,0
2020-03-16,Amoxicillin 500mg,480,0,178,302,0
2020-03-23,Amoxicillin 500mg,302,2124,211,2215,0
2020-03-30,Amoxicillin 500mg,2215,0,82,2133,0
2020-04-06,Amoxicillin 500mg,2133,0,242,1891,0
2020-04-13,Amoxicillin 500mg,1891,0,252,1639,0
2020-04-20,Amoxicillin 500mg,1639,0,297,1342,0
2020-04-27,Amoxicillin 500mg,1342,0,344,998,0
2020-05-04,Amoxicillin 500mg,998,0,317,681,0
2020-05-11,Amoxicillin 500mg,681,0,287,394,0
2020-05-18,Amoxicillin 500mg,394,0,238,156,0
2020-05-25,Amoxicillin 500mg,156,0,156,0,1
2020-06-01,Amoxicillin 500mg,0,0,0,0,1
2020-06-08,Amoxicillin 500mg,0,2948,246,2702,0
2020-06-15,Amoxicillin 500mg,2702,0,280,2422,0
2020-06-22,Amoxicillin 500mg,2422,0,267,2155,0
2020-06-29,Amoxicillin 500mg,2155,0,188,1967,0
2020-07-06,Amoxicillin 500mg,1967,0,341,1626,0
2020-07-13,Amoxicillin 500mg,1626,0,243,1383,0
2020-07-20,Amoxicillin 500mg,1383,0,276,1107,0
2020-07-27,Amoxicillin 500mg,1107,0,307,800,0
2020-08-03,Amoxicillin 500mg,800,0,400,400,0
2020-08-10,Amoxicillin 500mg,400,0,269,131,0
2020-08-17,Amoxicillin 500mg,131,0,131,0,1
2020-08-24,Amoxicillin 500mg,0,2003,78,1925,0
2020-08-31,Amoxicillin 500mg,1925,0,209,1716,0
2020-09-07,Amoxicillin 500mg,1716,0,273,1443,0
2020-09-14,Amoxicillin 500mg,1443,0,193,1250,0
2020-09-21,Amoxicillin 500mg,1250,0,148,1102,0
2020-09-28,Amoxicillin 500mg,1102,0,169,933,0
2020-10-05,Amoxicillin 500mg,933,0,133,800,0
2020-10-12,Amoxicillin 500mg,800,0,267,533,0
2020-10-19,Amoxicillin 500mg,533,0,272,261,0
2020-10-26,Amoxicillin 500mg,261,0,249,12,0
2020-11-02,Amoxicillin 500mg,12,0,12,0,1
2020-11-09,Amoxicillin 500mg,0,0,0,0,1
2020-11-16,Amoxicillin 500mg,0,0,0,0,1
2020-11-23,Amoxicillin 500mg,0,2186,240,1946,0
2020-11-30,Amoxicillin 500mg,1946,0,247,1699,0
2020-12-07,Amoxicillin 500mg,1699,0,278,1421,0
2020-12-14,Amoxicillin 500mg,1421,0,231,1190,0
2020-12-21,Amoxicillin 500mg,1190,0,205,985,0
2020-12-28,Amoxicillin 500mg,985,0,273,712,0
2021-01-04,Amoxicillin 500mg,712,0,194,518,0
2021-01-11,Amoxicillin 500mg,518,0,151,367,0
2021-01-18,Amoxicillin 500mg,367,2208,195,2380,0
2021-01-25,Amoxicillin 500mg,2380,0,177,2203,0
2021-02-01,Amoxicillin 500mg,2203,0,204,1999,0
2021-02-08,Amoxicillin 500mg,1999,0,203,1796,0
2021-02-15,Amoxicillin 500mg,1796,0,208,1588,0
2021-02-22,Amoxicillin 500mg,1588,0,181,1407,0
2021-03-01,Amoxicillin 500mg,1407,0,167,1240,0
2021-03-08,Amoxicillin 500mg,1240,0,193,1047,0
2021-03-15,Amoxicillin 500mg,1047,0,161,886,0
2021-03-22,Amoxicillin 500mg,886,0,167,719,0
2021-03-29,Amoxicillin 500mg,719,0,178,541,0
2021-04-05,Amoxicillin 500mg,541,0,99,442,0
2021-04-12,Amoxicillin 500mg,442,0,198,244,0
2021-04-19,Amoxicillin 500mg,244,0,237,7,0
2021-04-26,Amoxicillin 500mg,7,2582,245,2344,0
2021-05-03,Amoxicillin 500mg,2344,0,275,2069,0
2021-05-10,Amoxicillin 500mg,2069,0,271,1798,0
2021-05-17,Amoxicillin 500mg,1798,0,322,1476,0
2021-05-24,Amoxicillin 500mg,1476,0,246,1230,0
2021-05-31,Amoxicillin 500mg,1230,0,278,952,0
2021-06-07,Amoxicillin 500mg,952,0,200,752,0
2021-06-14,Amoxicillin 500mg,752,0,265,487,0
2021-06-21,Amoxicillin 500mg,487,0,264,223,0
2021-06-28,Amoxicillin 500mg,223,0,201,22,0
2021-07-05,Amoxicillin 500mg,22,0,22,0,1
2021-07-12,Amoxicillin 500mg,0,0,0,0,1
2021-07-19,Amoxicillin 500mg,0,2153,297,1856,0
2021-07-26,Amoxicillin 500mg,1856,0,249,1607,0
2021-08-02,Amoxicillin 500mg,1607,0,319,1288,0
2021-08-09,Amoxicillin 500mg,1288,0,231,1057,0
2021-08-16,Amoxicillin 500mg,1057,0,226,831,0
2021-08-23,Amoxicillin 500mg,831,0,313,518,0
2021-08-30,Amoxicillin 500mg,518,0,217,301,0
2021-09-06,Amoxicillin 500mg,301,0,281,20,0
2021-09-13,Amoxicillin 500mg,20,0,20,0,1
2021-09-20,Amoxicillin 500mg,0,0,0,0,1
2021-09-27,Amoxicillin 500mg,0,0,0,0,1
2021-10-04,Amoxicillin 500mg,0,0,0,0,1
2021-10-11,Amoxicillin 500mg,0,0,0,0,1
2021-10-18,Amoxicillin 500mg,0,2572,284,2288,0
2021-10-25,Amoxicillin 500mg,2288,0,322,1966,0
2021-11-01,Amoxicillin 500mg,1966,0,353,1613,0
2021-11-08,Amoxicillin 500mg,1613,0,249,1364,0
2021-11-15,Amoxicillin 500mg,1364,0,190,1174,0
2021-11-22,Amoxicillin 500mg,1174,0,201,973,0
2021-11-29,Amoxicillin 500mg,973,0,155,818,0
2021-12-06,Amoxicillin 500mg,818,0,262,556,0
2021-12-13,Amoxicillin 500mg,556,0,202,354,0
2021-12-20,Amoxicillin 500mg,354,2016,263,2107,0
2021-12-27,Amoxicillin 500mg,2107,0,321,1786,0
2022-01-03,Amoxicillin 500mg,1786,0,154,1632,0
2022-01-10,Amoxicillin 500mg,1632,0,211,1421,0
2022-01-17,Amoxicillin 500mg,1421,0,161,1260,0
2022-01-24,Amoxicillin 500mg,1260,0,156,1104,0
2022-01-31,Amoxicillin 500mg,1104,0,143,961,0
2022-02-07,Amoxicillin 500mg,961,0,173,788,0
2022-02-14,Amoxicillin 500mg,788,0,294,494,0
2022-02-21,Amoxicillin 500mg,494,0,182,312,0
2022-02-28,Amoxicillin 500mg,312,0,233,79,0
2022-03-07,Amoxicillin 500mg,79,2208,246,2041,0
2022-03-14,Amoxicillin 500mg,2041,0,154,1887,0
2022-03-21,Amoxicillin 500mg,1887,0,200,1687,0
2022-03-28,Amoxicillin 500mg,1687,0,159,1528,0
2022-04-04,Amoxicillin 500mg,1528,0,197,1331,0
2022-04-11,Amoxicillin 500mg,1331,0,261,1070,0
2022-04-18,Amoxicillin 500mg,1070,0,299,771,0
2022-04-25,Amoxicillin 500mg,771,0,337,434,0
2022-05-02,Amoxicillin 500mg,434,0,219,215,0
2022-05-09,Amoxicillin 500mg,215,0,215,0,1
2022-05-16,Amoxicillin 500mg,0,1942,377,1565,0
2022-05-23,Amoxicillin 500mg,1565,0,253,1312,0
2022-05-30,Amoxicillin 500mg,1312,0,279,1033,0
2022-06-06,Amoxicillin 500mg,1033,0,317,716,0
2022-06-13,Amoxicillin 500mg,716,0,188,528,0
2022-06-20,Amoxicillin 500mg,528,0,175,353,0
2022-06-27,Amoxicillin 500mg,353,0,203,150,0
2022-07-04,Amoxicillin 500mg,150,0,150,0,1
2022-07-11,Amoxicillin 500mg,0,0,0,0,1
2022-07-18,Amoxicillin 500mg,0,0,0,0,1
2022-07-25,Amoxicillin 500mg,0,2596,248,2348,0
2022-08-01,Amoxicillin 500mg,2348,0,423,1925,0
2022-08-08,Amoxicillin 500mg,1925,0,214,1711,0
2022-08-15,Amoxicillin 500mg,1711,0,219,1492,0
2022-08-22,Amoxicillin 500mg,1492,0,300,1192,0
2022-08-29,Amoxicillin 500mg,1192,0,219,973,0
2022-09-05,Amoxicillin 500mg,973,0,135,838,0
2022-09-12,Amoxicillin 500mg,838,0,203,635,0
2022-09-19,Amoxicillin 500mg,635,0,215,420,0
2022-09-26,Amoxicillin 500mg,420,0,180,240,0
2022-10-03,Amoxicillin 500mg,240,2137,141,2236,0
2022-10-10,Amoxicillin 500mg,2236,0,251,1985,0
2022-10-17,Amoxicillin 500mg,1985,0,309,1676,0
2022-10-24,Amoxicillin 500mg,1676,0,234,1442,0
2022-10-31,Amoxicillin 500mg,1442,0,322,1120,0
2022-11-07,Amoxicillin 500mg,1120,0,271,849,0
2022-11-14,Amoxicillin 500mg,849,0,278,571,0
2022-11-21,Amoxicillin 500mg,571,0,226,345,0
2022-11-28,Amoxicillin 500mg,345,0,271,74,0
2022-12-05,Amoxicillin 500mg,74,1953,345,1682,0
2022-12-12,Amoxicillin 500mg,1682,0,225,1457,0
2022-12-19,Amoxicillin 500mg,1457,0,234,1223,0
2022-12-26,Amoxicillin 500mg,1223,0,221,1002,0
2020-01-06,Artemether-Lumefantrine (AL),1480,0,133,1347,0
2020-01-13,Artemether-Lumefantrine (AL),1347,0,48,1299,0
2020-01-20,Artemether-Lumefantrine (AL),1299,0,155,1144,0
2020-01-27,Artemether-Lumefantrine (AL),1144,0,145,999,0
2020-02-03,Artemether-Lumefantrine (AL),999,0,133,866,0
2020-02-10,Artemether-Lumefantrine (AL),866,0,198,668,0
2020-02-17,Artemether-Lumefantrine (AL),668,0,116,552,0
2020-02-24,Artemether-Lumefantrine (AL),552,0,148,404,0
2020-03-02,Artemether-Lumefantrine (AL),404,1661,124,1941,0
2020-03-09,Artemether-Lumefantrine (AL),1941,0,173,1768,0
2020-03-16,Artemether-Lumefantrine (AL),1768,0,195,1573,0
2020-03-23,Artemether-Lumefantrine (AL),1573,0,157,1416,0
2020-03-30,Artemether-Lumefantrine (AL),1416,0,112,1304,0
2020-04-06,Artemether-Lumefantrine (AL),1304,0,150,1154,0
2020-04-13,Artemether-Lumefantrine (AL),1154,0,151,1003,0
2020-04-20,Artemether-Lumefantrine (AL),1003,0,190,813,0
2020-04-27,Artemether-Lumefantrine (AL),813,0,214,599,0
2020-05-04,Artemether-Lumefantrine (AL),599,0,196,403,0
2020-05-11,Artemether-Lumefantrine (AL),403,0,146,257,0
2020-05-18,Artemether-Lumefantrine (AL),257,1544,245,1556,0
2020-05-25,Artemether-Lumefantrine (AL),1556,0,249,1307,0
2020-06-01,Artemether-Lumefantrine (AL),1307,0,152,1155,0
2020-06-08,Artemether-Lumefantrine (AL),1155,0,179,976,0
2020-06-15,Artemether-Lumefantrine (AL),976,0,212,764,0
2020-06-22,Artemether-Lumefantrine (AL),764,0,235,529,0
2020-06-29,Artemether-Lumefantrine (AL),529,0,207,322,0
2020-07-06,Artemether-Lumefantrine (AL),322,0,232,90,0
2020-07-13,Artemether-Lumefantrine (AL),90,1653,233,1510,0
2020-07-20,Artemether-Lumefantrine (AL),1510,0,229,1281,0
2020-07-27,Artemether-Lumefantrine (AL),1281,0,133,1148,0
2020-08-03,Artemether-Lumefantrine (AL),1148,0,215,933,0
2020-08-10,Artemether-Lumefantrine (AL),933,0,229,704,0
2020-08-17,Artemether-Lumefantrine (AL),704,0,208,496,0
2020-08-24,Artemether-Lumefantrine (AL),496,0,177,319,0
2020-08-31,Artemether-Lumefantrine (AL),319,0,199,120,0
2020-09-07,Artemether-Lumefantrine (AL),120,0,120,0,1
2020-09-14,Artemether-Lumefantrine (AL),0,0,0,0,1
2020-09-21,Artemether-Lumefantrine (AL),0,1679,127,1552,0
2020-09-28,Artemether-Lumefantrine (AL),1552,0,187,1365,0
2020-10-05,Artemether-Lumefantrine (AL),1365,0,148,1217,0
2020-10-12,Artemether-Lumefantrine (AL),1217,0,222,995,0
2020-10-19,Artemether-Lumefantrine (AL),995,0,212,783,0
2020-10-26,Artemether-Lumefantrine (AL),783,0,141,642,0
2020-11-02,Artemether-Lumefantrine (AL),642,0,242,400,0
2020-11-09,Artemether-Lumefantrine (AL),400,0,182,218,0
2020-11-16,Artemether-Lumefantrine (AL),218,0,185,33,0
2020-11-23,Artemether-Lumefantrine (AL),33,1595,149,1479,0
2020-11-30,Artemether-Lumefantrine (AL),1479,0,135,1344,0
2020-12-07,Artemether-Lumefantrine (AL),1344,0,173,1171,0
2020-12-14,Artemether-Lumefantrine (AL),1171,0,190,981,0
2020-12-21,Artemether-Lumefantrine (AL),981,0,235,746,0
2020-12-28,Artemether-Lumefantrine (AL),746,0,228,518,0
2021-01-04,Artemether-Lumefantrine (AL),518,0,129,389,0
2021-01-11,Artemether-Lumefantrine (AL),389,0,139,250,0
2021-01-18,Artemether-Lumefantrine (AL),250,0,139,111,0
2021-01-25,Artemether-Lumefantrine (AL),111,1616,147,1580,0
2021-02-01,Artemether-Lumefantrine (AL),1580,0,88,1492,0
2021-02-08,Artemether-Lumefantrine (AL),1492,0,157,1335,0
2021-02-15,Artemether-Lumefantrine (AL),1335,0,163,1172,0
2021-02-22,Artemether-Lumefantrine (AL),1172,0,82,1090,0
2021-03-01,Artemether-Lumefantrine (AL),1090,0,156,934,0
2021-03-08,Artemether-Lumefantrine (AL),934,0,148,786,0
2021-03-15,Artemether-Lumefantrine (AL),786,0,140,646,0
2021-03-22,Artemether-Lumefantrine (AL),646,0,154,492,0
2021-03-29,Artemether-Lumefantrine (AL),492,0,208,284,0
2021-04-05,Artemether-Lumefantrine (AL),284,0,99,185,0
2021-04-12,Artemether-Lumefantrine (AL),185,1788,181,1792,0
2021-04-19,Artemether-Lumefantrine (AL),1792,0,223,1569,0
2021-04-26,Artemether-Lumefantrine (AL),1569,0,274,1295,0
2021-05-03,Artemether-Lumefantrine (AL),1295,0,274,1021,0
2021-05-10,Artemether-Lumefantrine (AL),1021,0,199,822,0
2021-05-17,Artemether-Lumefantrine (AL),822,0,168,654,0
2021-05-24,Artemether-Lumefantrine (AL),654,0,250,404,0
2021-05-31,Artemether-Lumefantrine (AL),404,0,273,131,0
2021-06-07,Artemether-Lumefantrine (AL),131,0,131,0,1
2021-06-14,Artemether-Lumefantrine (AL),0,0,0,0,1
2021-06-21,Artemether-Lumefantrine (AL),0,0,0,0,1
2021-06-28,Artemether-Lumefantrine (AL),0,0,0,0,1
2021-07-05,Artemether-Lumefantrine (AL),0,1665,226,1439,0
2021-07-12,Artemether-Lumefantrine (AL),1439,0,144,1295,0
2021-07-19,Artemether-Lumefantrine (AL),1295,0,154,1141,0
2021-07-26,Artemether-Lumefantrine (AL),1141,0,159,982,0
2021-08-02,Artemether-Lumefantrine (AL),982,0,220,762,0
2021-08-09,Artemether-Lumefantrine (AL),762,0,251,511,0
2021-08-16,Artemether-Lumefantrine (AL),511,0,228,283,0
2021-08-23,Artemether-Lumefantrine (AL),283,0,159,124,0
2021-08-30,Artemether-Lumefantrine (AL),124,0,124,0,1
2021-09-06,Artemether-Lumefantrine (AL),0,0,0,0,1
2021-09-13,Artemether-Lumefantrine (AL),0,1521,102,1419,0
2021-09-20,Artemether-Lumefantrine (AL),1419,0,167,1252,0
2021-09-27,Artemether-Lumefantrine (AL),1252,0,90,1162,0
2021-10-04,Artemether-Lumefantrine (AL),1162,0,166,996,0
2021-10-11,Artemether-Lumefantrine (AL),996,0,139,857,0
2021-10-18,Artemether-Lumefantrine (AL),857,0,237,620,0
2021-10-25,Artemether-Lumefantrine (AL),620,0,242,378,0
2021-11-01,Artemether-Lumefantrine (AL),378,0,246,132,0
2021-11-08,Artemether-Lumefantrine (AL),132,1541,156,1517,0
2021-11-15,Artemether-Lumefantrine (AL),1517,0,249,1268,0
2021-11-22,Artemether-Lumefantrine (AL),1268,0,77,1191,0
2021-11-29,Artemether-Lumefantrine (AL),1191,0,227,964,0
2021-12-06,Artemether-Lumefantrine (AL),964,0,271,693,0
2021-12-13,Artemether-Lumefantrine (AL),693,0,229,464,0
2021-12-20,Artemether-Lumefantrine (AL),464,0,194,270,0
2021-12-27,Artemether-Lumefantrine (AL),270,0,225,45,0
2022-01-03,Artemether-Lumefantrine (AL),45,0,45,0,1
2022-01-10,Artemether-Lumefantrine (AL),0,1769,118,1651,0
2022-01-17,Artemether-Lumefantrine (AL),1651,0,114,1537,0
2022-01-24,Artemether-Lumefantrine (AL),1537,0,138,1399,0
2022-01-31,Artemether-Lumefantrine (AL),1399,0,122,1277,0
2022-02-07,Artemether-Lumefantrine (AL),1277,0,106,1171,0
2022-02-14,Artemether-Lumefantrine (AL),1171,0,110,1061,0
2022-02-21,Artemether-Lumefantrine (AL),1061,0,174,887,0
2022-02-28,Artemether-Lumefantrine (AL),887,0,153,734,0
2022-03-07,Artemether-Lumefantrine (AL),734,0,90,644,0
2022-03-14,Artemether-Lumefantrine (AL),644,0,119,525,0
2022-03-21,Artemether-Lumefantrine (AL),525,0,152,373,0
2022-03-28,Artemether-Lumefantrine (AL),373,0,119,254,0
2022-04-04,Artemether-Lumefantrine (AL),254,2073,123,2204,0
2022-04-11,Artemether-Lumefantrine (AL),2204,0,148,2056,0
2022-04-18,Artemether-Lumefantrine (AL),2056,0,189,1867,0
2022-04-25,Artemether-Lumefantrine (AL),1867,0,226,1641,0
2022-05-02,Artemether-Lumefantrine (AL),1641,0,236,1405,0
2022-05-09,Artemether-Lumefantrine (AL),1405,0,189,1216,0
2022-05-16,Artemether-Lumefantrine (AL),1216,0,172,1044,0
2022-05-23,Artemether-Lumefantrine (AL),1044,0,201,843,0
2022-05-30,Artemether-Lumefantrine (AL),843,0,294,549,0
2022-06-06,Artemether-Lumefantrine (AL),549,0,214,335,0
2022-06-13,Artemether-Lumefantrine (AL),335,0,206,129,0
2022-06-20,Artemether-Lumefantrine (AL),129,0,129,0,1
2022-06-27,Artemether-Lumefantrine (AL),0,0,0,0,1
2022-07-04,Artemether-Lumefantrine (AL),0,1744,191,1553,0
2022-07-11,Artemether-Lumefantrine (AL),1553,0,228,1325,0
2022-07-18,Artemether-Lumefantrine (AL),1325,0,185,1140,0
2022-07-25,Artemether-Lumefantrine (AL),1140,0,263,877,0
2022-08-01,Artemether-Lumefantrine (AL),877,0,219,658,0
2022-08-08,Artemether-Lumefantrine (AL),658,0,200,458,0
2022-08-15,Artemether-Lumefantrine (AL),458,0,189,269,0
2022-08-22,Artemether-Lumefantrine (AL),269,0,234,35,0
2022-08-29,Artemether-Lumefantrine (AL),35,0,35,0,1
2022-09-05,Artemether-Lumefantrine (AL),0,1635,176,1459,0
2022-09-12,Artemether-Lumefantrine (AL),1459,0,171,1288,0
2022-09-19,Artemether-Lumefantrine (AL),1288,0,175,1113,0
2022-09-26,Artemether-Lumefantrine (AL),1113,0,87,1026,0
2022-10-03,Artemether-Lumefantrine (AL),1026,0,137,889,0
2022-10-10,Artemether-Lumefantrine (AL),889,0,221,668,0
2022-10-17,Artemether-Lumefantrine (AL),668,0,246,422,0
2022-10-24,Artemether-Lumefantrine (AL),422,0,177,245,0
2022-10-31,Artemether-Lumefantrine (AL),245,0,188,57,0
2022-11-07,Artemether-Lumefantrine (AL),57,1847,229,1675,0
2022-11-14,Artemether-Lumefantrine (AL),1675,0,202,1473,0
2022-11-21,Artemether-Lumefantrine (AL),1473,0,225,1248,0
2022-11-28,Artemether-Lumefantrine (AL),1248,0,188,1060,0
2022-12-05,Artemether-Lumefantrine (AL),1060,0,238,822,0
2022-12-12,Artemether-Lumefantrine (AL),822,0,155,667,0
2022-12-19,Artemether-Lumefantrine (AL),667,0,180,487,0
2022-12-26,Artemether-Lumefantrine (AL),487,0,244,243,0
2020-01-06,Cotrimoxazole,2768,0,147,2621,0
2020-01-13,Cotrimoxazole,2621,0,162,2459,0
2020-01-20,Cotrimoxazole,2459,0,265,2194,0
2020-01-27,Cotrimoxazole,2194,0,200,1994,0
2020-02-03,Cotrimoxazole,1994,0,223,1771,0
2020-02-10,Cotrimoxazole,1771,0,168,1603,0
2020-02-17,Cotrimoxazole,1603,0,205,1398,0
2020-02-24,Cotrimoxazole,1398,0,119,1279,0
2020-03-02,Cotrimoxazole,1279,0,165,1114,0
2020-03-09,Cotrimoxazole,1114,0,207,907,0
2020-03-16,Cotrimoxazole,907,0,174,733,0
2020-03-23,Cotrimoxazole,733,0,154,579,0
2020-03-30,Cotrimoxazole,579,0,161,418,0
2020-04-06,Cotrimoxazole,418,1197,149,1466,0
2020-04-13,Cotrimoxazole,1466,0,199,1267,0
2020-04-20,Cotrimoxazole,1267,0,186,1081,0
2020-04-27,Cotrimoxazole,1081,0,269,812,0
2020-05-04,Cotrimoxazole,812,0,200,612,0
